Variedad	Mercado	Unidad	Dia	Precio
Fuji	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Lunes	205000
Fuji	Terminal La Palmera de La Serena	$/bin (400 kilos)	Lunes	265000
Fuji	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Lunes	0
Fuji	Vega Modelo de Temuco	$/bin (400 kilos)	Lunes	0
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Lunes	180000
Granny Smith	Terminal La Palmera de La Serena	$/bin (400 kilos)	Lunes	235000
Granny Smith	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Lunes	0
Granny Smith	Vega Modelo de Temuco	$/bin (400 kilos)	Lunes	0
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Lunes	166279
Pink Lady	Terminal La Palmera de La Serena	$/bin (400 kilos)	Lunes	225000
Pink Lady	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Lunes	0
Richared Delicious	Vega Modelo de Temuco	$/bin (400 kilos)	Lunes	0
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Lunes	0
Royal Gala	Terminal La Palmera de La Serena	$/bin (400 kilos)	Lunes	0
Royal Gala	Vega Modelo de Temuco	$/bin (400 kilos)	Lunes	0
Scarlett	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Lunes	0
Granny Smith	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Lunes	9000
Granny Smith	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Lunes	0
Pink Lady	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Lunes	0
Pink Lady	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Lunes	0
Richared Delicious	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Lunes	0
Royal Gala	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Lunes	9000
Fuji	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Martes	201316
Fuji	Terminal La Palmera de La Serena	$/bin (400 kilos)	Martes	265000
Fuji	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Martes	220000
Fuji	Vega Modelo de Temuco	$/bin (400 kilos)	Martes	330000
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Martes	185102
Granny Smith	Terminal La Palmera de La Serena	$/bin (400 kilos)	Martes	235000
Granny Smith	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Martes	183750
Granny Smith	Vega Modelo de Temuco	$/bin (400 kilos)	Martes	330000
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Martes	164762
Pink Lady	Terminal La Palmera de La Serena	$/bin (400 kilos)	Martes	225000
Pink Lady	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Martes	174375
Richared Delicious	Vega Modelo de Temuco	$/bin (400 kilos)	Martes	320000
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Martes	160000
Royal Gala	Terminal La Palmera de La Serena	$/bin (400 kilos)	Martes	0
Royal Gala	Vega Modelo de Temuco	$/bin (400 kilos)	Martes	0
Scarlett	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Martes	220000
Granny Smith	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Martes	9000
Granny Smith	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Martes	14000
Pink Lady	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Martes	0
Pink Lady	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Martes	12000
Richared Delicious	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Martes	15000
Royal Gala	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Martes	9000
Fuji	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Miércoles	218696
Fuji	Terminal La Palmera de La Serena	$/bin (400 kilos)	Miércoles	0
Fuji	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Miércoles	0
Fuji	Vega Modelo de Temuco	$/bin (400 kilos)	Miércoles	0
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Miércoles	181579
Granny Smith	Terminal La Palmera de La Serena	$/bin (400 kilos)	Miércoles	0
Granny Smith	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Miércoles	0
Granny Smith	Vega Modelo de Temuco	$/bin (400 kilos)	Miércoles	0
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Miércoles	160000
Pink Lady	Terminal La Palmera de La Serena	$/bin (400 kilos)	Miércoles	0
Pink Lady	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Miércoles	0
Richared Delicious	Vega Modelo de Temuco	$/bin (400 kilos)	Miércoles	0
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Miércoles	160000
Royal Gala	Terminal La Palmera de La Serena	$/bin (400 kilos)	Miércoles	0
Royal Gala	Vega Modelo de Temuco	$/bin (400 kilos)	Miércoles	0
Scarlett	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Miércoles	0
Granny Smith	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Miércoles	9000
Granny Smith	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Miércoles	14000
Pink Lady	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Miércoles	0
Pink Lady	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Miércoles	12000
Richared Delicious	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Miércoles	15000
Royal Gala	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Miércoles	9000
Fuji	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Jueves	205000
Fuji	Terminal La Palmera de La Serena	$/bin (400 kilos)	Jueves	265000
Fuji	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Jueves	0
Fuji	Vega Modelo de Temuco	$/bin (400 kilos)	Jueves	330000
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Jueves	186923
Granny Smith	Terminal La Palmera de La Serena	$/bin (400 kilos)	Jueves	235000
Granny Smith	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Jueves	0
Granny Smith	Vega Modelo de Temuco	$/bin (400 kilos)	Jueves	330000
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Jueves	176154
Pink Lady	Terminal La Palmera de La Serena	$/bin (400 kilos)	Jueves	225000
Pink Lady	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Jueves	0
Richared Delicious	Vega Modelo de Temuco	$/bin (400 kilos)	Jueves	320000
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Jueves	0
Royal Gala	Terminal La Palmera de La Serena	$/bin (400 kilos)	Jueves	215000
Royal Gala	Vega Modelo de Temuco	$/bin (400 kilos)	Jueves	280000
Scarlett	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Jueves	0
Granny Smith	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Jueves	9000
Granny Smith	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Jueves	15000
Pink Lady	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Jueves	9000
Pink Lady	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Jueves	0
Richared Delicious	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Jueves	0
Royal Gala	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Jueves	9000
Fuji	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Viernes	213667
Fuji	Terminal La Palmera de La Serena	$/bin (400 kilos)	Viernes	265000
Fuji	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Viernes	204000
Fuji	Vega Modelo de Temuco	$/bin (400 kilos)	Viernes	330000
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Viernes	189032
Granny Smith	Terminal La Palmera de La Serena	$/bin (400 kilos)	Viernes	235000
Granny Smith	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Viernes	200000
Granny Smith	Vega Modelo de Temuco	$/bin (400 kilos)	Viernes	330000
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Viernes	172667
Pink Lady	Terminal La Palmera de La Serena	$/bin (400 kilos)	Viernes	225000
Pink Lady	Vega Central Mapocho de Santiago	$/bin (400 kilos)	Viernes	0
Richared Delicious	Vega Modelo de Temuco	$/bin (400 kilos)	Viernes	0
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Viernes	0
Royal Gala	Terminal La Palmera de La Serena	$/bin (400 kilos)	Viernes	0
Royal Gala	Vega Modelo de Temuco	$/bin (400 kilos)	Viernes	280000
Scarlett	Mercado Mayorista Lo Valledor de Santiago	$/bin (400 kilos)	Viernes	0
Granny Smith	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Viernes	9000
Granny Smith	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Viernes	15000
Pink Lady	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Viernes	9000
Pink Lady	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Viernes	0
Richared Delicious	Vega Modelo de Temuco	$/bandeja 15 kilos granel	Viernes	0
Royal Gala	Macroferia Regional de Talca	$/bandeja 15 kilos granel	Viernes	9000
