Variedad	Mercado	Unidad	Dia	Volumen
Fuji	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Lunes	48
Fuji	Terminal La Palmera de La Serena	Bin (400 kilos)	Lunes	20
Fuji	Vega Central Mapocho de Santiago	Bin (400 kilos)	Lunes	0
Fuji	Vega Modelo de Temuco	Bin (400 kilos)	Lunes	0
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Lunes	44
Granny Smith	Terminal La Palmera de La Serena	Bin (400 kilos)	Lunes	20
Granny Smith	Vega Central Mapocho de Santiago	Bin (400 kilos)	Lunes	0
Granny Smith	Vega Modelo de Temuco	Bin (400 kilos)	Lunes	0
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Lunes	43
Pink Lady	Terminal La Palmera de La Serena	Bin (400 kilos)	Lunes	20
Pink Lady	Vega Central Mapocho de Santiago	Bin (400 kilos)	Lunes	0
Richared Delicious	Vega Modelo de Temuco	Bin (400 kilos)	Lunes	0
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Lunes	0
Royal Gala	Terminal La Palmera de La Serena	Bin (400 kilos)	Lunes	0
Royal Gala	Vega Modelo de Temuco	Bin (400 kilos)	Lunes	0
Scarlett	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Lunes	0
Granny Smith	Macroferia Regional de Talca	Bandeja 15 kilos granel	Lunes	250
Granny Smith	Vega Modelo de Temuco	Bandeja 15 kilos granel	Lunes	0
Pink Lady	Macroferia Regional de Talca	Bandeja 15 kilos granel	Lunes	0
Pink Lady	Vega Modelo de Temuco	Bandeja 15 kilos granel	Lunes	0
Richared Delicious	Vega Modelo de Temuco	Bandeja 15 kilos granel	Lunes	0
Royal Gala	Macroferia Regional de Talca	Bandeja 15 kilos granel	Lunes	200
Fuji	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Martes	38
Fuji	Terminal La Palmera de La Serena	Bin (400 kilos)	Martes	12
Fuji	Vega Central Mapocho de Santiago	Bin (400 kilos)	Martes	12
Fuji	Vega Modelo de Temuco	Bin (400 kilos)	Martes	3
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Martes	49
Granny Smith	Terminal La Palmera de La Serena	Bin (400 kilos)	Martes	14
Granny Smith	Vega Central Mapocho de Santiago	Bin (400 kilos)	Martes	16
Granny Smith	Vega Modelo de Temuco	Bin (400 kilos)	Martes	3
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Martes	42
Pink Lady	Terminal La Palmera de La Serena	Bin (400 kilos)	Martes	14
Pink Lady	Vega Central Mapocho de Santiago	Bin (400 kilos)	Martes	16
Richared Delicious	Vega Modelo de Temuco	Bin (400 kilos)	Martes	6
Royal Gala	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Martes	20
Royal Gala	Terminal La Palmera de La Serena	Bin (400 kilos)	Martes	0
Royal Gala	Vega Modelo de Temuco	Bin (400 kilos)	Martes	0
Scarlett	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Martes	15
Granny Smith	Macroferia Regional de Talca	Bandeja 15 kilos granel	Martes	320
Granny Smith	Vega Modelo de Temuco	Bandeja 15 kilos granel	Martes	300
Pink Lady	Macroferia Regional de Talca	Bandeja 15 kilos granel	Martes	0
Pink Lady	Vega Modelo de Temuco	Bandeja 15 kilos granel	Martes	300
Richared Delicious	Vega Modelo de Temuco	Bandeja 15 kilos granel	Martes	1000
Royal Gala	Macroferia Regional de Talca	Bandeja 15 kilos granel	Martes	200
Fuji	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Miércoles	46
Fuji	Terminal La Palmera de La Serena	Bin (400 kilos)	Miércoles	0
Fuji	Vega Central Mapocho de Santiago	Bin (400 kilos)	Miércoles	0
Fuji	Vega Modelo de Temuco	Bin (400 kilos)	Miércoles	0
Granny Smith	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Miércoles	38
Granny Smith	Terminal La Palmera de La Serena	Bin (400 kilos)	Miércoles	0
Granny Smith	Vega Central Mapocho de Santiago	Bin (400 kilos)	Miércoles	0
Granny Smith	Vega Modelo de Temuco	Bin (400 kilos)	Miércoles	0
Pink Lady	Mercado Mayorista Lo Valledor de Santiago	Bin (400 kilos)	Miércoles	39
Pink Lady	Terminal La Palmera de La Serena	Bin (400 kilos)	Miércoles	0
Pink Lady	Vega Central Mapocho de Santiago	Bin (400 kilos)	Miércoles	0
